txt_id;widgetid;active;translatable;nativeapptext;English;Português
TXT073;-;y;y;02 - The selected field can not be used as primary key because there are rows with repeated values. Delete rows with empty value as well.;02 - The selected field can not be used as primary key because there are rows with repeated values. Delete rows with empty value as well.;02 – O campo selecionado não pode ser usado como chave primária porque há linhas com valores repetidos.  Exclua linhas com valores vazios também.
TXT074;-;y;y;For more information, visit https://wiki.osm.org/wiki/OSM_CSV_Appender ;For more information, visit https://wiki.osm.org/wiki/OSM_CSV_Appender ;Para mais informações, acesse https://wiki.osm.org/wiki/OSM_CSV_Appender 
TXT075;-;y;y;Select output folder;Select output folder;Selecione a pasta de saída
TXT076;-;y;y;Time of execution: ;Time of execution: ;Tempo de execução: 
TXT077;;;;;;
TXT078;;;;;;
TXT079;;;;;;
TXT080;;;;;;
TXT081;;;;;;
TXT082;;;;;;
TXT083;;;;;;
TXT084;;;;;;
TXT085;;;;;;
TXT086;;;;;;
TXT087;;;;;;
TXT088;;;;;;
TXT089;;;;;;
TXT090;;;;;;
TXT091;;;;;;
TXT092;;;;;;
TXT093;;;;;;
TXT094;;;;;;
TXT095;;;;;;
TXT096;;;;;;
TXT097;;;;;;
TXT098;;;;;;
TXT099;;;;;;
